# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
11733.5000 M180 640710 4 6482.5000 P9 B18 191 N P9->S36->S38->B24->B18
11756.7000 M3 968122 5 11672.7000 P1 P7 105 N P1->B15->S29->P1->S39->P7
11890.7000 M201 844048 6 6010.7000 S25 B16 199 N S25->P3->B22->S37->P5->S32->B16
11904.1000 M136 631418 4 7951.1000 S28 S33 167 N S28->P8->P13->S30->S33
12328.7000 M31 582298 3 11441.7000 B15 P14 109 N B15->S29->P11->P14
12633.5000 M16 527969 4 12171.5000 B21 P12 97 N B21->B24->S36->S33->P12
12644.0000 M231 755810 2 5887.0000 P14 P0 201 N P14->B18->P0
12666.2000 M286 719294 2 4276.2000 B19 P14 228 N B19->P0->P14
12668.7000 M174 607365 2 7592.7000 P5 P14 173 N P5->P0->P14
12673.2000 M417 556438 1 385.2000 B20 B18 293 N B20->B18
13183.2000 M332 996432 1 3415.2000 B16 S29 243 N B16->S29
13208.0000 M367 685526 2 2392.0000 P0 P8 260 N P0->S30->P8
13234.2000 M258 608758 1 5661.2000 B16 P10 205 N B16->P10
13292.9000 M301 759677 1 4463.9000 B15 S27 225 N B15->S27
13302.0000 M343 547012 4 3197.0000 P6 B18 246 N P6->S31->S32->S37->B18
13417.6000 M195 918565 3 7714.6000 S31 S30 171 N S31->S34->P6->S30
13420.7000 M246 510867 4 6212.7000 P5 S29 196 N P5->S28->B20->B18->S29
13488.9000 M385 630100 2 2163.9000 S28 P2 263 N S28->B20->P2
13710.1000 M410 875760 2 1628.1000 P10 P13 272 N P10->P2->P13
13790.1000 M328 870117 1 4146.1000 P2 S26 230 N P2->S26
13803.8000 M143 663690 4 9650.8000 P9 B16 139 N P9->S36->P1->P2->B16
14035.7000 M39 683464 3 12924.7000 B19 B17 84 N B19->B24->B23->B17
14091.8000 M390 827059 1 2608.8000 P4 P10 256 N P4->P10
14248.7000 M234 990219 3 7400.7000 P10 B21 176 N P10->S37->P5->B21
14271.3000 M448 509017 1 1095.3000 P9 P2 281 N P9->P2
14272.6000 M297 965112 4 5562.6000 B20 S33 207 N B20->S32->P11->B24->S33
14330.3000 M483 818265 1 151.3000 S26 P11 297 N S26->P11
14397.9000 M149 719739 5 10067.9000 B23 B16 132 N B23->S33->B22->S28->B20->B16
14686.7000 M497 510629 1 94.7000 S31 S29 298 N S31->S29
14746.1000 M347 595090 2 4525.1000 P8 B19 224 N P8->B23->B19
14748.7000 M345 629812 2 4589.7000 P8 B19 223 N P8->B23->B19
14752.3000 M404 894484 1 2851.3000 B20 P8 252 N B20->P8
14752.6000 M473 965406 1 857.6000 B23 B19 285 N B23->B19
14755.6000 M242 740492 1 7666.6000 B19 B23 172 N B19->B23
